id,question,answer,image_path
1,日本で一番北にある主要な島はどこですか？,北海道,images/image_hok.jpg
2,雪まつりで有名な都道府県はどこですか？,北海道,images/image_hok.jpg
3,ジンギスカンが名物の地域はどこですか？,北海道,images/image_hok.jpg
4,流氷が見られるのは日本のどのあたりですか？,北海道,images/image_hok.jpg
5,札幌ラーメンが有名なのはどこですか？,北海道,images/image_hok.jpg
6,広い大地が特徴の都道府県は？,北海道,images/image_hok.jpg
7,豊かな自然とヒグマが生息する地域は？,北海道,images/image_hok.jpg
8,カニやウニなどの海産物が豊富なのは？,北海道,images/image_hok.jpg
9,函館山からの夜景が美しいのは？,北海道,images/image_hok.jpg
10,アイヌ文化が色濃く残るのは？,北海道,images/image_hok.jpg
11,日本で最も東に位置する都道府県は？,北海道,images/image_hok.jpg
12,酪農が盛んな地域は？,北海道,images/image_hok.jpg
13,馬が放牧されている広大な牧場が多いのは？,北海道,images/image_hok.jpg
14,冬はスキーやスノーボードが人気の場所は？,北海道,images/image_hok.jpg
15,メロンやジャガイモが有名なのは？,北海道,images/image_hok.jpg
16,白い恋人というお菓子が有名なのは？,北海道,images/image_hok.jpg
17,雄大な自然公園が多いのは？,北海道,images/image_hok.jpg
18,クマが出没することもある地域は？,北海道,images/image_hok.jpg
19,寒冷な気候が特徴の都道府県は？,北海道,images/image_hok.jpg
20,鮭が豊富に獲れるのは？,北海道,images/image_hok.jpg
21,日本の最南端にある県はどこですか？,沖縄,images/image_oki.jpg
22,青い海と白い砂浜が美しいのはどこですか？,沖縄,images/image_oki.jpg
23,シーサーが魔除けの像として置かれているのは？,沖縄,images/image_oki.jpg
24,ゴーヤチャンプルーが郷土料理なのは？,沖縄,images/image_oki.jpg
25,首里城があるのはどこですか？,沖縄,images/image_oki.jpg
26,年間を通して温暖な気候の地域は？,沖縄,images/image_oki.jpg
27,サンゴ礁が広がる海が特徴の都道府県は？,沖縄,images/image_oki.jpg
28,沖縄そばが有名なのはどこですか？,沖縄,images/image_oki.jpg
29,美ら海水族館があるのは？,沖縄,images/image_oki.jpg
30,琉球文化が根付くのは？,沖縄,images/image_oki.jpg
31,日本で唯一台風が多い地域は？,沖縄,images/image_oki.jpg
32,米軍基地が多く存在する県は？,沖縄,images/image_oki.jpg
33,マンゴーやパイナップルが特産品なのは？,沖縄,images/image_oki.jpg
34,シュノーケリングやダイビングが人気の場所は？,沖縄,images/image_oki.jpg
35,豚肉を使った料理が多いのは？,沖縄,images/image_oki.jpg
36,ちんすこうというお菓子が有名なのは？,沖縄,images/image_oki.jpg
37,エメラルドグリーンの海が広がるのは？,沖縄,images/image_oki.jpg
38,ウミガメが産卵に訪れる海岸があるのは？,沖縄,images/image_oki.jpg
39,南国ムード漂う都道府県は？,沖縄,images/image_oki.jpg
40,泡盛が有名なのは？,沖縄,images/image_oki.jpg
41,日本の最北端に近い都道府県は？,北海道,images/image_hok.jpg
42,味噌ラーメンといえばこの地域！,北海道,images/image_hok.jpg
43,積丹ブルーが有名なのは？,北海道,images/image_hok.jpg
44,開拓の歴史が深いのは？,北海道,images/image_hok.jpg
45,大規模な農業が行われているのは？,北海道,images/image_hok.jpg
46,旭山動物園があるのは？,北海道,images/image_hok.jpg
47,雪合戦世界大会が開催されるのは？,北海道,images/image_hok.jpg
48,日本で最も冷涼な気候の場所は？,北海道,images/image_hok.jpg
49,ラベンダー畑が美しい富良野があるのは？,北海道,images/image_hok.jpg
50,時計台があるのは？,北海道,images/image_hok.jpg
51,日本の最南端に近い都道府県は？,沖縄,images/image_oki.jpg
52,タコライス発祥の地は？,沖縄,images/image_oki.jpg
53,慶良間諸島があるのは？,沖縄,images/image_oki.jpg
54,かつての琉球王国があった場所は？,沖縄,images/image_oki.jpg
55,シーカヤックが楽しめる海が多いのは？,沖縄,images/image_oki.jpg
56,夏に台風が上陸しやすいのは？,沖縄,images/image_oki.jpg
57,エイサーという踊りがあるのは？,沖縄,images/image_oki.jpg
58,沖縄音楽が有名なのは？,沖縄,images/image_oki.jpg
59,アメリカンビレッジがあるのは？,沖縄,images/image_oki.jpg
60,国際通りがあるのは？,沖縄,images/image_oki.jpg
61,北海道は冬に何が有名ですか？,北海道,images/image_hok.jpg
62,白い恋人パークがあるのはどこですか？,北海道,images/image_hok.jpg
63,サッポロビール園があるのは？,北海道,images/image_hok.jpg
64,稚内があるのは？,北海道,images/image_hok.jpg
65,摩周湖が有名なのは？,北海道,images/image_hok.jpg
66,阿寒湖があるのは？,北海道,images/image_hok.jpg
67,日本海側に位置する大都市があるのは？,北海道,images/image_hok.jpg
68,鮭児が捕れるのは？,北海道,images/image_hok.jpg
69,毛ガニが特産なのは？,北海道,images/image_hok.jpg
70,夕張メロンが有名なのは？,北海道,images/image_hok.jpg
71,沖縄は夏に何が有名ですか？,沖縄,images/image_oki.jpg
72,パイナップル畑が多いのはどこですか？,沖縄,images/image_oki.jpg
73,オリオンビールが有名なのは？,沖縄,images/image_oki.jpg
74,石垣島があるのは？,沖縄,images/image_oki.jpg
75,古宇利島があるのは？,沖縄,images/image_oki.jpg
76,万座毛があるのは？,沖縄,images/image_oki.jpg
77,東シナ海に面した島々があるのは？,沖縄,images/image_oki.jpg
78,アグー豚が有名なのは？,沖縄,images/image_oki.jpg
79,海ぶどうが特産なのは？,沖縄,images/image_oki.jpg
80,紅芋タルトが有名なのは？,沖縄,images/image_oki.jpg
81,北海道の冬の平均気温は？,北海道,images/image_hok.jpg
82,雪まつりの開催地は？,北海道,images/image_hok.jpg
83,日本有数の漁獲量を誇るのは？,北海道,images/image_hok.jpg
84,広大な国立公園が多いのは？,北海道,images/image_hok.jpg
85,スキー場が多いのは？,北海道,images/image_hok.jpg
86,知床半島があるのは？,北海道,images/image_hok.jpg
87,札幌ドームがあるのは？,北海道,images/image_hok.jpg
88,流氷観光が楽しめるのは？,北海道,images/image_hok.jpg
89,ヒグマが生息する都道府県は？,北海道,images/image_hok.jpg
90,鮭の遡上が見られるのは？,北海道,images/image_hok.jpg
91,沖縄の夏の平均気温は？,沖縄,images/image_oki.jpg
92,シュノーケリングが人気の地域は？,沖縄,images/image_oki.jpg
93,日本有数のサンゴ礁があるのは？,沖縄,images/image_oki.jpg
94,国立公園が多いのは？,沖縄,images/image_oki.jpg
95,ダイビングスポットが多いのは？,沖縄,images/image_oki.jpg
96,西表島があるのは？,沖縄,images/image_oki.jpg
97,那覇空港があるのは？,沖縄,images/image_oki.jpg
98,台風の進路によく現れるのは？,沖縄,images/image_oki.jpg
99,ハブが生息する都道府県は？,沖縄,images/image_oki.jpg
100,ウミガメの産卵地が多いのは？,沖縄,images/image_oki.jpg
101,寒い気候で有名なのは？,北海道,images/image_hok.jpg
102,雪がよく降るのは？,北海道,images/image_hok.jpg
103,スキー旅行に最適な場所は？,北海道,images/image_hok.jpg
104,氷点下になることが多いのは？,北海道,images/image_hok.jpg
105,厚手のコートが必要なのは？,北海道,images/image_hok.jpg
106,ストーブが欠かせないのは？,北海道,images/image_hok.jpg
107,雪だるまを作るならどこ？,北海道,images/image_hok.jpg
108,除雪車が必要な場所は？,北海道,images/image_hok.jpg
109,温泉地が多いのは？,北海道,images/image_hok.jpg
110,防寒対策が重要なのは？,北海道,images/image_hok.jpg
111,暖かい気候で有名なのは？,沖縄,images/image_oki.jpg
112,年中Tシャツで過ごせるのは？,沖縄,images/image_oki.jpg
113,海水浴に最適な場所は？,沖縄,images/image_oki.jpg
114,冬でも暖かいのは？,沖縄,images/image_oki.jpg
115,薄着で過ごせるのは？,沖縄,images/image_oki.jpg
116,エアコンが欠かせないのは？,沖縄,images/image_oki.jpg
117,ビーチサンダルが似合う場所は？,沖縄,images/image_oki.jpg
118,日焼け止めが必須なのは？,沖縄,images/image_oki.jpg
119,南国のフルーツが豊富なのは？,沖縄,images/image_oki.jpg
120,熱中症に注意が必要なのは？,沖縄,images/image_oki.jpg
121,日本で最も北にある県は？,北海道,images/image_hok.jpg
122,北海道の道庁所在地は？,北海道,images/image_hok.jpg
123,クマが生息しているのは？,北海道,images/image_hok.jpg
124,雪まつりといえば？,北海道,images/image_hok.jpg
125,冷涼な気候の場所は？,北海道,images/image_hok.jpg
126,日本で最も広大な面積を持つのは？,北海道,images/image_hok.jpg
127,ジンギスカンはどこの料理？,北海道,images/image_hok.jpg
128,海の幸が豊富な場所は？,北海道,images/image_hok.jpg
129,鮭が名産なのは？,北海道,images/image_hok.jpg
130,酪農が盛んなのは？,北海道,images/image_hok.jpg
131,日本で最も南にある県は？,沖縄,images/image_oki.jpg
132,沖縄の県庁所在地は？,沖縄,images/image_oki.jpg
133,ハブが生息しているのは？,沖縄,images/image_oki.jpg
134,エイサーといえば？,沖縄,images/image_oki.jpg
135,温暖な気候の場所は？,沖縄,images/image_oki.jpg
136,日本で唯一、梅雨がない地域は？,沖縄,images/image_oki.jpg
137,ゴーヤチャンプルーはどこの料理？,沖縄,images/image_oki.jpg
138,海のレジャーが豊富な場所は？,沖縄,images/image_oki.jpg
139,パイナップルが名産なのは？,沖縄,images/image_oki.jpg
140,サトウキビ栽培が盛んなのは？,沖縄,images/image_oki.jpg
141,日本で一番大きい都道府県は？,北海道,images/image_hok.jpg
142,雪国といえば？,北海道,images/image_hok.jpg
143,流氷が見られるのは？,北海道,images/image_hok.jpg
